reference_product,n_locations,n_distinct_structures,identical_structure,max_coefficient_of_variation,sector,bucket
"Natural gas, production AT, at long-distance pipeline",3,1,True,1.1500474491586113e-16,05-energy,trivial-template
"Photovoltaic panel for PVT, single-Si, without flat glass, at plant",3,2,False,,05-energy,variable-mix
"Wood chips, softwood, wet, measured as dry mass, at sawmill",3,3,False,,08-materials,variable-mix
"Fluosilicic acid, 22% in H2O, at plant",3,3,False,,03-chemicals,variable-mix
"Natural gas, production BG, at long-distance pipeline",3,1,True,1.1500474491586113e-16,05-energy,trivial-template
"Natural gas, production SA, at long-distance pipeline",3,2,False,,05-energy,variable-mix
"Mine, gold and silver",3,1,True,0.9139288363565824,08-materials,template-with-variation
"Nuclear power plant, boiling water reactor 1000MW",3,3,False,,02-electricity,variable-mix
"Natural gas, production CN, at long-distance pipeline",3,2,False,,05-energy,variable-mix
"Photovoltaic panel, multi-Si, at regional storage",3,2,False,,02-electricity,variable-mix
"Natural gas, production CZ, at long-distance pipeline",3,1,True,1.1500474491586113e-16,05-energy,trivial-template
"Sawlog and veneer log, softwood, sustainable forest management, measured as solid wood under bark, at forest road",3,2,False,,08-materials,variable-mix
"Transport, passenger car, diesel hybrid, Large SUV, 2018, EURO-6c",2,1,True,0.009125593191531176,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Large, 2016, EURO-6ab",2,1,True,0.009140690146012688,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Compact, 2021, EURO-6d",2,1,True,0.009805208575265822,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Large, 2013, EURO-5",2,1,True,0.009267333840538164,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Large SUV, 2021, EURO-6d",2,1,True,0.009632140855868837,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Large SUV, 2019, EURO-6d-TEMP",2,1,True,0.00900242081505577,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Compact, 2019, EURO-6d-TEMP",2,1,True,0.008675567483747124,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Large SUV, 2013, EURO-5",2,1,True,0.007783032299355905,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Large SUV, 2016, EURO-6ab",2,1,True,0.009519367828981658,04-transport,trivial-template
"Transport, passenger car, diesel, Compact, 2003, EURO-3",2,1,True,0.6680294358135733,04-transport,template-with-variation
"Transport, passenger car, diesel hybrid, Large, 2018, EURO-6c",2,1,True,0.008686486337877667,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Large, 2019, EURO-6d-TEMP",2,1,True,0.008543142130903049,04-transport,trivial-template
"Transport, passenger car, diesel, Large SUV, 2008, EURO-4",2,1,True,0.3347732181425486,04-transport,template-with-variation
"Transport, passenger car, diesel, Large SUV, 2013, EURO-5",2,1,True,0.008993665033274121,04-transport,trivial-template
"Transport, passenger car, diesel, Large SUV, 2016, EURO-6ab",2,1,True,0.009065287300296751,04-transport,trivial-template
"Transport, passenger car, diesel, Large SUV, 2018, EURO-6c",2,1,True,0.008386841042769329,04-transport,trivial-template
"Transport, passenger car, diesel, Large SUV, 2019, EURO-6d-TEMP",2,1,True,0.00840599274451893,04-transport,trivial-template
"Transport, passenger car, diesel, Large SUV, 2021, EURO-6d",2,1,True,0.008445324413034132,04-transport,trivial-template
"Transport, passenger car, diesel, Large, 2003, EURO-3",2,1,True,0.0795847750865052,04-transport,trivial-template
"Transport, passenger car, diesel, Large, 2008, EURO-4",2,1,True,0.334916864608076,04-transport,template-with-variation
